item_code,item_name,box_length,box_width,box_height,box_volume,box_weight,number_of_item_in_a_box,item_volume,item_unit,item_order_frequency,item_relative_importance,item_quantity_order_mean,item_quantity_order_std,item_quantity_order_total,item_quantity_order_unique,item_quantity_order_unique_frequency,item_class,item_initial_quantity_inventory,mean_daily_demand,std_daily_demand,cv,adi,cv2,demand_pattern,cv_class,rop_global,slots_needed
10010002001,波蜜果菜汁TP250ml,35.0,20.0,11.0,7700.0,6.63,24.0,320.8,PCS,693.0,0.1386610223162947,27.774,17.258,19692,"[6, 12, 18, 24, 30, 36, 48, 54, 72, 96]","[115, 32, 7, 371, 3, 3, 155, 1, 9, 13]",A,1763,937.7143,501.4799,0.5348,1.0,0.286,smooth,1,409,11
10000002001,可口可樂2L,34.0,23.0,31.0,24242.0,13.31,6.0,4040.3,PCS,686.0,0.1409476508724854,12.741,13.943,9976,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 15, 16, 18, 21, 22, 23, 24, 30, 36, 37, 39, 42, 48, 50, 54, 60]","[120, 91, 38, 13, 7, 160, 6, 5, 18, 4, 80, 4, 9, 3, 50, 1, 5, 1, 50, 46, 15, 1, 1, 11, 19, 1, 14, 10]",A,233,98.1429,104.4779,1.0645,1.0,1.1333,erratic,2,60,20
14203017001,北海鱈魚香絲,53.0,34.0,33.0,59466.0,6.06,40.0,1486.7,PCS,683.0,0.14322427959534,1.769,1.641,1228,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 16, 20]","[420, 172, 55, 19, 7, 8, 1, 4, 3, 1, 2, 1, 1]",A,117,58.4762,24.9331,0.4264,1.0,0.1818,smooth,0,28,3
14832021001,同榮茄汁鯖魚罐(黃) 230g,35.0,27.0,12.0,11340.0,7.2,24.0,472.5,PCS,681.0,0.1477642039299345,5.234,5.369,3690,"[1, 2, 3, 4, 6, 8, 9, 12, 18, 21, 24, 30, 33, 40, 48]","[5, 6, 452, 1, 140, 1, 48, 28, 2, 1, 13, 1, 2, 1, 4]",A,314,175.7143,59.2268,0.3371,1.0,0.1136,smooth,0,71,3
14102250001,義美杏仁巧克力酥片（牛奶巧克力）,51.0,21.0,34.0,36414.0,4.54,10.0,3641.4,PCS,681.0,0.1454942417626372,1.536,1.375,1054,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12]","[515, 92, 41, 16, 4, 7, 1, 2, 4, 1, 3]",A,103,47.9524,23.5063,0.4902,1.0,0.2403,smooth,0,25,11
10033018001,原萃綠茶玉露 Pet 580ml,37.0,25.0,24.0,22200.0,14.89,24.0,925.0,PCS,666.0,0.1499841669305511,18.552,18.365,12764,"[1, 3, 4, 5, 7, 8, 9, 12, 15, 16, 19, 20, 24, 28, 36, 44, 48, 52, 64, 72, 96, 120]","[2, 1, 239, 1, 1, 80, 1, 32, 1, 17, 1, 3, 212, 2, 4, 1, 72, 1, 1, 7, 4, 5]",A,1077,510.8571,243.0577,0.4758,1.0,0.2264,smooth,0,264,23
14505016001,來一客-韓式泡菜 67g,46.0,33.0,20.0,30360.0,3.0,24.0,1265.0,PCS,660.0,0.1521841302644956,6.139,6.678,4242,"[3, 6, 9, 12, 15, 18, 21, 24, 45, 48]","[411, 198, 8, 6, 5, 3, 2, 53, 2, 3]",A,426,183.4286,146.9059,0.8009,1.0,0.6414,erratic,1,108,18
14131033001,77新貴派迷你巧克力,53.0,31.0,25.0,41075.0,5.6,15.0,2738.3,PCS,658.0,0.1543774270428826,1.283,0.712,929,"[1, 2, 3, 4, 5, 11]","[573, 120, 20, 5, 5, 1]",A,89,44.2381,26.6906,0.6033,1.0,0.364,smooth,1,21,6
14112007001,義美牛奶小泡芙(三入),40.0,28.0,31.0,34720.0,3.65,10.0,3472.0,PCS,654.0,0.158737354377427,1.785,2.217,1171,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 20, 30]","[458, 119, 32, 11, 5, 7, 3, 4, 1, 6, 8, 1, 1]",A,119,48.8095,54.6933,1.1205,1.2353,0.8262,erratic,2,31,12
10031001001,泰山冰鎮檸檬紅茶250ml,35.0,20.0,11.0,7700.0,6.6,24.0,320.8,PCS,654.0,0.1565573907101548,26.389,17.583,17628,"[2, 4, 6, 12, 14, 18, 20, 22, 24, 30, 34, 48, 60, 72, 96]","[2, 2, 147, 14, 1, 10, 1, 1, 336, 2, 1, 116, 1, 30, 4]",A,1716,839.4286,376.4679,0.4485,1.0,0.2011,smooth,0,415,11
