item_code,item_name,order_frequency,total_qty,avg_qty_per_order,days_ordered,best_fit,poisson_p,normal_p,note
14505008001,王子麵-火鍋/滷味專用50g,49,395,8.061224489795919,7,normal,0.0002,0.001,
14505009001,科學麵原味40gX12特規 科學麵原味40gX,551,774,1.4021739130434785,18,poisson,0.0105,0.0,
14505011001,拉麵道-日式味噌(袋)101g,208,1088,5.205741626794258,21,poisson,0.2531,0.0,
14505013001,維力炸醬麵(包) 90g 維力炸醬麵(包),797,10170,12.555555555555555,21,poisson,0.0176,0.0,
14505014001,維力炸醬麵(碗) 90g 維力炸醬麵(碗),455,4377,9.273305084745765,21,poisson,0.0329,0.0,
14505016001,來一客-韓式泡菜 67g,660,4110,6.070901033973412,21,poisson,0.0001,0.0,
14505020001,維力大乾麵-地獄辣椒(包)100g,155,1285,8.132911392405063,21,poisson,0.3403,0.0,
14505021001,維力大乾麵-紅油擔擔(包)100g,167,1459,8.532163742690058,21,poisson,0.6467,0.0,
14505031001,統一阿Q桶麵韓式泡菜麵 102g,201,1224,5.941747572815534,21,poisson,0.236,0.0,
14505035001,火辣雞肉風味鐵板炒麵(奶油白醬風味) 三養火辣雞白醬,6,8,1.3333333333333333,6,poisson,0.6732,0.0,
14505039001,農心天婦羅海鮮味烏龍杯麵62g 農心天婦羅海鮮,11,17,1.5454545454545454,8,poisson,0.8112,0.0,
14505041001,科學麵-原味(包)40g,490,9420,17.84090909090909,21,poisson,0.0254,0.0,
14505043001,Paldo 泡菜麵 120g Paldo 泡菜麵,2,10,5.0,2,poisson,,,sparse
14505046001,農心辛香菇味杯麵68g 農心辛香菇味杯,75,127,1.6933333333333334,19,poisson,0.1894,0.0,
14505047001,維力大乾麵紅油擔擔風味碗麵110g 大乾桶紅油擔擔,10,36,3.272727272727273,7,poisson,0.4884,0.1036,
14505048001,張君雅小妹妹-捏碎麵 40g,42,705,14.6875,17,poisson,0.1794,0.0,
14505052001,荷卡廚坊濃湯麵田園玉米47g 濃湯麵田園玉米,4,15,3.75,4,poisson,1.0,0.0,
14505053001,農心激辣辛杯麵68g 農心激辣辛杯麵,8,14,1.75,8,poisson,0.4933,0.0,
14505058001,荷卡廚坊濃湯麵巧達海鮮47g 濃湯麵巧達海鮮,29,105,3.6206896551724137,15,poisson,0.274,0.0,
14505059001,王子麵原味40g 王子麵原味,42,660,15.0,8,poisson,0.0034,0.0,
14505065001,味王-泰式酸辣湯麵(包)86g 泰式酸辣湯麵,5,40,8.0,2,poisson,,,sparse
14505088001,不倒翁辣炒年糕乾拌杯麵 65g,3,3,1.0,2,poisson,,,sparse
14505099001,拉麵道-日式味噌(杯)80G,167,885,5.057142857142857,21,poisson,0.0184,0.0,
14505102001,Paldo 極地麻辣湯麵120g,1,10,10.0,1,poisson,,,sparse
14505105001,巷口乾麵炸醬風味(袋) 100g 炸醬風味,93,444,4.774193548387097,21,poisson,0.2427,0.0,
14505106001,巷口乾麵麻醬風味(袋) 100g,68,392,5.681159420289855,20,poisson,0.8593,0.0,
14505115001,維力炸醬麵重量包(袋) 123g 炸醬麵重量包,236,3028,12.160642570281125,14,poisson,0.0496,0.0,
