item_code,item_name,abc_kmeans,distribution,mean_order_freq,std_order_freq,cv,cv_class,full_class
10023124001,老協珍人蔘精麥蘆卡蜂蜜口味60mlx14入,C,poisson,0.2857,0.5345,1.8708,2,low demand - intermittent
10023892001,天地合補葡萄糖胺18入 天地合補葡萄糖,B,poisson,0.7619,0.8729,1.1456,2,medium demand - intermittent
10023991001,正官庄高麗蔘精Everytime秘10mlx20 正官庄高麗蔘精,C,poisson,0.2381,0.488,2.0494,2,low demand - intermittent
10023998001,天地合補金盞花葉黃素濃縮飲15mlx16入,C,poisson,0.1905,0.4364,2.2913,2,low demand - intermittent
10023999001,農純鄉滴雞精50mlx8入 農純鄉滴雞精,C,poisson,0.0476,0.2182,4.5826,2,low demand - intermittent
10024001001,健酪原味乳酸飲料,B,poisson,0.7619,0.8729,1.1456,2,medium demand - intermittent
10024003001,健酪乳酸飲料原味Pet1450ml,B,poisson,1.0,1.0,1.0,1,medium demand - volatile
10024004001,開心成長可爾必思蘋果口味160ml 蘋果,A,poisson,3.0,1.7321,0.5774,1,high demand - volatile
10024005001,健酪水蜜桃乳酸飲料 健酪水蜜桃乳酸,B,poisson,0.5238,0.7237,1.3817,2,medium demand - intermittent
10024006001,健酪藍莓乳酸飲料,C,poisson,0.1429,0.378,2.6458,2,low demand - intermittent
10024007001,開心成長可爾必思160ml,A,poisson,8.4762,2.9114,0.3435,0,high demand - stable
10024010001,可爾必思乳酸菌飲料Can335ml,A,poisson,3.619,1.9024,0.5257,1,high demand - volatile
10024011001,可爾必思乳酸菌飲料Pet500ml,A,poisson,4.2857,2.0702,0.483,0,high demand - stable
10024014001,健酪乳酸飲料原味Pet580ml,B,poisson,1.5238,1.2344,0.8101,1,medium demand - volatile
10024900001,SAKI 清涼脫脂乳飲料 250ML,C,poisson,0.1905,0.4364,2.2913,2,low demand - intermittent
10030001001,開喜凍頂烏龍茶無糖1.5L 開喜凍頂烏龍茶,B,poisson,0.4762,0.6901,1.4491,2,medium demand - intermittent
10030003001,光泉冷泡烏龍茶無糖Pet585 ml 光泉冷泡烏龍茶,A,poisson,12.4762,3.5322,0.2831,0,high demand - stable
10030005001,開喜凍頂烏龍茶有糖Pet1500ml 開喜凍頂烏龍茶,A,poisson,2.9524,1.7182,0.582,1,high demand - volatile
10030007001,原萃文山包種烏龍茶580ml 原萃文山包種烏,A,poisson,23.2381,4.8206,0.2074,0,high demand - stable
10030008001,原萃冷萃金萱烏龍 450ml 冷萃金萱烏龍Pet,A,poisson,2.8571,1.6903,0.5916,1,high demand - volatile
10030011001,御茶園金萱烏龍PET550ml 御茶園金萱烏龍P,A,poisson,7.3333,2.708,0.3693,0,high demand - stable
10030012001,悅氏黃金烏龍茶無糖Pet2000ml 悅氏烏龍茶-無糖,A,poisson,4.2857,2.0702,0.483,0,high demand - stable
10030013001,開喜凍頂烏龍茶微糖TP 250ml,A,poisson,16.2857,4.0356,0.2478,0,high demand - stable
10030014001,茶裏王白毫烏龍茶微甜Pet 600ml,A,poisson,7.1429,2.6726,0.3742,0,high demand - stable
10030015001,茶裏王青心烏龍無糖Pet600ml,A,poisson,3.7619,1.9396,0.5156,1,high demand - volatile
10030016001,立頓茶佐茶無糖烏龍紅 535ml,A,poisson,5.0952,2.2573,0.443,0,high demand - stable
10030017001,冷泡茶茶王烏龍 1235ml 茶王烏龍 1235ml,B,poisson,1.5238,1.2344,0.8101,1,medium demand - volatile
10030018001,悅氏黑烏龍茶 2000ml 悅氏黑烏龍茶2L,A,poisson,4.1429,2.0354,0.4913,0,high demand - stable
10030019001,濃韻烏龍茶Pet 600ml,B,poisson,1.5238,1.2344,0.8101,1,medium demand - volatile
10030020001,濃韻烏龍茶 975mL 濃韻烏龍茶975ml,B,poisson,0.5238,0.7237,1.3817,2,medium demand - intermittent
10030021001,開喜凍頂烏龍茶(無糖)Pet575ml 開喜烏龍茶無糖,B,poisson,1.4286,1.1952,0.8367,1,medium demand - volatile
10030022001,開喜凍頂烏龍茶有糖Pet575ml 開喜烏龍茶低糖,A,poisson,3.2857,1.8127,0.5517,1,high demand - volatile
10030023001,原萃冷萃平安超值組 450ml*12入組 原萃冷萃超值組,A,poisson,19.4762,4.4132,0.2266,0,high demand - stable
10030030001,冷泡茶冰釀烏龍無糖Pet1235ml 烏龍茶,B,poisson,2.2381,1.496,0.6684,1,medium demand - volatile
10030045001,茶之初烏龍茶 535ml 茶之初烏龍茶,A,poisson,3.0,1.7321,0.5774,1,high demand - volatile
10030046001,冷泡茶茶王烏龍585ml,A,poisson,4.9048,2.2147,0.4515,0,high demand - stable
10030048001,原萃木柵鐵觀音 580ml,A,poisson,23.0476,4.8008,0.2083,0,high demand - stable
10030049001,原萃文山包種烏龍茶1250ml 包種烏龍茶1.25L,A,poisson,2.9048,1.7043,0.5867,1,high demand - volatile
10031001001,泰山冰鎮檸檬紅茶250ml 泰山冰鎮紅茶,A,poisson,31.7143,5.6315,0.1776,0,high demand - stable
10031003001,KIRIN午後紅茶-紅茶 Pet500ml,C,poisson,0.2857,0.5345,1.8708,2,low demand - intermittent
10031004001,御茶園特上紅茶Pet 550ml,A,poisson,6.3333,2.5166,0.3974,0,high demand - stable
10031006001,生活蘇格蘭紅茶 590ml,C,poisson,0.0952,0.3086,3.2404,2,low demand - intermittent
10031007001,茶裏王英式紅茶Pet600ml,A,poisson,4.7143,2.1712,0.4606,0,high demand - stable
10031009001,健茶王蜜香烏龍540ml,B,poisson,0.3333,0.5774,1.7321,2,medium demand - intermittent
10031011001,麥香阿薩姆紅茶1250ml,A,poisson,4.6667,2.1602,0.4629,0,high demand - stable
10031012001,泰山冰鎮檸檬紅茶Pet535ml,A,poisson,2.7143,1.6475,0.607,1,high demand - volatile
10031013001,統一麥香紅茶TP375ml,A,poisson,34.2381,5.8513,0.1709,0,high demand - stable
10031015001,生活日月潭無糖紅茶590ml,B,poisson,0.4286,0.6547,1.5275,2,medium demand - intermittent
10031016001,生活泡沫紅茶TP250ml 生活泡沫紅茶,A,poisson,8.381,2.895,0.3454,0,high demand - stable
10031017001,阿薩姆紅茶300ml,A,poisson,6.381,2.5261,0.3959,0,high demand - stable
10031019001,麥香阿薩姆紅茶Pet600ml,A,poisson,3.6667,1.9149,0.5222,1,high demand - volatile
10031021001,阿薩姆雙茶會烏龍紅茶330ml 阿薩姆烏龍紅茶,C,poisson,0.1429,0.378,2.6458,2,low demand - intermittent
10031022001,雀巢茶品錫蘭原葉紅茶530ml 雀巢錫蘭紅茶,B,poisson,0.381,0.6172,1.6202,2,medium demand - intermittent
10031023001,光泉茉莉茶園蘋果紅茶585ml,B,poisson,0.9524,0.9759,1.0247,2,medium demand - intermittent
10031025001,波蜜靠茶極品紅茶580ml,A,poisson,8.0952,2.8452,0.3515,0,high demand - stable
