sku_i,sku_j,cooc,n_i,n_j,jaccard
14010036001,14010247001,53,219,333,0.1062124248496994
14502014001,14505016001,139,799,654,0.10578386605783865
14222068001,14222095001,22,160,70,0.10576923076923077
14510004001,14510033001,25,150,112,0.10548523206751055
14370020001,14600005001,54,299,269,0.10505836575875487
14023083001,14023248001,39,182,229,0.10483870967741936
14020026001,14023248001,105,881,229,0.1044776119402985
14504028001,14510033001,20,101,112,0.10362694300518134
10030048001,10033018001,105,478,642,0.10344827586206896
10032019001,10032064001,36,229,155,0.10344827586206896
14132050001,14132052001,33,209,144,0.103125
10032016001,10034019001,108,627,529,0.10305343511450382
14022167001,14023503001,21,66,159,0.10294117647058823
10024004001,10024007001,22,62,174,0.102803738317757
14501013001,14503019001,78,356,483,0.10249671484888305
14510033001,14840018001,21,112,114,0.1024390243902439
10001004001,10002006001,73,394,393,0.10224089635854341
10032011001,14504028001,20,115,101,0.10204081632653061
14500037001,14500042001,71,473,295,0.10186513629842181
14131081001,14131092001,39,198,224,0.10182767624020887
14011003001,14011028001,111,743,462,0.10146252285191956
14504027001,14504028001,25,171,101,0.10121457489878542
14130001001,14131040001,23,187,65,0.10043668122270742
14509008001,14840018001,27,182,114,0.10037174721189591
14500000001,14502041001,137,1183,325,0.099927060539752
10001004001,10002035001,52,394,180,0.09961685823754789
10040037001,10040039001,43,81,394,0.09953703703703703
14244014001,14244052001,21,116,116,0.0995260663507109
10040062001,10040063001,59,342,310,0.09949409780775717
14130017001,14130042001,33,215,151,0.0990990990990991
14831007001,14840003001,137,810,712,0.09891696750902527
14003019001,14003029001,51,209,358,0.09883720930232558
14011028001,14011059001,72,462,339,0.09876543209876543
14130016001,14130042001,31,195,151,0.09841269841269841
14521157001,14521158001,41,285,173,0.09832134292565947
14506084001,14621069001,22,80,166,0.09821428571428571
14501063001,14502077001,90,521,486,0.09814612868047982
14000033001,14000039001,55,124,492,0.09803921568627451
14104118001,14110084001,60,451,222,0.09787928221859707
14001034001,14003009001,24,111,159,0.0975609756097561
11040005001,11040009001,25,150,132,0.09727626459143969
11103136001,11103137001,31,273,77,0.09717868338557993
10032011001,14510033001,20,115,112,0.0966183574879227
14010036001,14010150001,27,219,88,0.09642857142857143
14130007001,14131027001,62,404,301,0.09642301710730948
14521156001,14521158001,21,66,173,0.0963302752293578
14506084001,14509008001,23,80,182,0.09623430962343096
10033037001,10034019001,92,521,529,0.09603340292275574
14501045001,14505016001,106,559,654,0.0957542908762421
14500010001,14503019001,72,341,483,0.09574468085106383
