pod_id,item_id,qty,order_id,processed_time,task_type,trigger,opp_score,trip_start,trip_duration
326,609,2,-10,1908,1,,
326,609,8,-52,1908,1,,
105,3,8,4,1909,1,,
105,8,7,4,1909,1,,
105,115,7,4,1909,1,,
430,763,4,41,1920,1,,
430,808,3,4,1920,1,,
439,274,6,8,1927,1,,
439,261,4,78,1927,1,,
447,457,6,91,1930,1,,
447,481,9,-11,1930,1,,
447,3065,2,-90,1930,1,,
454,623,7,4,1935,1,,
283,20,9,62,1943,1,,
437,174,10,89,1949,1,,
474,983,6,-10,1951,1,,
474,980,4,-10,1951,1,,
411,96,8,46,1954,1,,
466,848,2,4,1961,1,,
466,851,6,4,1961,1,,
274,378,6,62,1964,1,,
158,75,6,4,1972,1,,
152,147,8,-52,1981,1,,
152,16,12,105,1981,1,,
413,134,5,4,1985,1,,
265,90,10,-93,1997,1,,
102,1270,8,-52,2004,1,,
102,8,6,105,2004,1,,
409,74,4,4,2011,1,,
85,8,6,62,2020,1,,
85,9,4,107,2020,1,,
85,3,8,-93,2020,1,,
273,275,8,-93,2032,1,,
289,20,4,-52,2035,1,,
289,229,7,-10,2035,1,,
461,751,6,-93,2041,1,,
363,2704,3,81,2045,1,,
407,48,9,-10,2048,1,,
115,1352,10,-93,2055,1,,
199,1823,3,-52,2060,1,,
199,317,6,102,2060,1,,
374,895,3,4,2069,1,,
327,645,8,-17,2072,1,,
59,7,8,100,2074,1,,
59,29,6,100,2074,1,,
151,1556,9,-10,2085,1,,
367,431,7,-10,2095,1,,
76,47,12,120,2112,1,,
412,133,10,110,2119,1,,
412,-1,-1,-999,2119,2,v14_piggyback,2.0,2119,0
458,698,8,-52,2124,1,,
0,1232,3,46,2125,1,,
0,1593,2,-93,2125,1,,
478,1052,7,4,2139,1,,
478,1056,8,4,2139,1,,
408,40,12,37,2140,1,,
1,51,8,117,2141,1,,
1,37,4,97,2141,1,,
446,454,3,81,2145,1,,
77,7,6,97,2151,1,,
257,296,11,5,2160,1,,
472,943,6,90,2172,1,,
454,607,7,19,2173,1,,
136,1467,2,4,2178,1,,
411,99,4,107,2188,1,,
411,99,7,90,2188,1,,
414,134,10,5,2195,1,,
423,479,6,97,2197,1,,
383,21,5,-10,2206,1,,
383,18,6,120,2206,1,,
439,273,3,53,2215,1,,
462,783,8,37,2218,1,,
387,176,4,46,2227,1,,
417,225,4,62,2236,1,,
128,116,2,5,2242,1,,
378,1024,7,-10,2249,1,,
