item_code,item_id,n_slots,s_total,rop_global,rop_per_slot
10002014001,458,4,384,27,7
10002046001,459,3,288,21,7
14132052001,460,3,36,2,1
10020041001,461,3,540,35,12
14502022001,462,3,144,9,3
14613026001,463,3,36,2,1
14131008001,464,2,24,2,1
10013012001,465,1,360,18,18
14021021001,466,6,18,1,1
12220003001,467,6,24,2,1
14615084001,468,3,36,2,1
14223179001,469,1,60,2,2
10012011001,470,3,432,35,12
10021012001,471,5,480,40,8
14502007001,472,5,120,11,3
10035017001,473,5,240,18,4
10040049001,474,15,60,5,1
14111036001,475,4,24,2,1
14100026001,476,2,24,2,1
10001001001,477,5,60,5,1
14500007001,478,2,180,11,6
10040094001,479,13,52,5,1
10002943001,480,3,288,25,9
14111039001,481,2,24,2,1
14121164001,482,1,24,2,2
10020027001,483,3,360,26,9
14000002001,484,3,36,3,1
10034027001,485,3,432,29,10
14133029001,486,3,36,3,1
14112054001,487,3,30,2,1
10031017001,488,4,576,39,10
14223215001,489,2,40,2,1
14130054001,490,3,24,2,1
12220013001,491,6,24,2,1
14011074001,492,2,24,2,1
14361101001,493,4,48,4,1
11040009001,494,2,48,3,2
12106105001,495,2,40,2,1
10040032001,496,6,432,34,6
11040035001,497,2,48,3,2
14511051001,498,4,52,4,1
14010037001,499,2,24,1,1
12212033001,500,3,36,2,1
14110081001,501,3,36,3,1
14121143001,502,2,40,2,1
14506065001,503,1,96,2,2
14011006001,504,3,36,3,1
14831022001,505,1,168,7,7
14222072001,506,1,40,2,2
10001022001,507,4,192,14,4
14101024001,508,3,36,3,1
14010043001,509,4,24,2,1
10033028001,510,6,288,21,4
14520068001,511,1,96,4,4
14353019001,512,6,36,3,1
14103018001,513,2,20,1,1
12122999001,514,2,96,9,5
14833018001,515,1,24,2,2
14851025001,516,10,20,2,1
14601026001,517,1,36,2,2
14110006001,518,2,48,2,1
14832012001,519,1,96,5,5
10032055001,520,2,288,20,10
11040006001,521,2,48,3,2
10033075001,522,4,64,6,2
14311005001,523,3,36,3,1
14010178001,524,2,40,3,2
14000033001,525,1,36,2,2
14504052001,526,2,48,2,1
10014009001,527,4,288,26,7
10012004001,528,5,120,11,3
14504008001,529,2,180,12,6
10031004001,530,5,240,19,4
14510007001,531,2,26,2,1
10014083001,532,1,36,10,10
14100012001,533,2,24,2,1
10002944001,534,3,288,17,6
14023102001,535,1,36,2,2
14510025001,536,4,52,4,1
10031025001,537,7,168,12,2
12201043001,538,6,222,18,3
14102009001,539,3,24,2,1
14330005001,540,4,24,2,1
14112040001,541,3,15,4,2
14014011001,542,3,36,2,1
14010094001,543,2,36,2,1
10011023001,544,1,360,17,17
10035028001,545,2,384,25,13
11103070001,546,4,48,4,1
10033019001,547,7,84,8,2
14850011001,548,14,14,1,1
14223045001,549,2,48,2,1
10040019001,550,11,44,4,1
14504002001,551,2,180,17,9
14200119001,552,2,24,2,1
14000027001,553,4,20,1,1
11050035001,554,5,20,2,1
10033044001,555,4,64,6,2
14500064001,556,1,90,20,20
14244014001,557,3,36,2,1
11061071001,558,1,20,2,2
14021107001,559,5,20,2,1
