tick,total_energy,job_queue_len,stop_and_go,total_turning
16581.6,32018517.49203029,20,48277,37123
16581.75,32018811.77115372,20,48277,37124
16581.9,32019061.906738114,20,48278,37124
16582.05,32019402.74186559,20,48278,37125
16582.2,32019638.313630093,20,48279,37125
16582.35,32019935.107570816,20,48279,37126
16582.5,32020165.958075352,20,48279,37126
16582.65,32020407.31471429,20,48279,37127
16582.8,32020635.690211628,20,48280,37127
16582.95,32020825.773045596,20,48282,37127
16583.1,32021136.11647398,20,48282,37128
16583.25,32021332.627351306,20,48282,37128
16583.4,32021531.17778964,20,48282,37128
16583.55,32021736.84203642,20,48282,37128
16583.7,32021924.95848837,20,48283,37128
16583.85,32022116.815632824,20,48284,37128
16584.0,32022343.181847356,20,48284,37129
16584.15,32022547.870306667,20,48284,37129
16584.3,32022773.387432266,20,48284,37129
16584.45,32023006.77728702,20,48284,37129
16584.6,32023236.307922665,20,48284,37129
16584.75,32023473.711287476,20,48284,37129
16584.9,32023721.112289406,20,48284,37129
16585.05,32023964.77649134,20,48284,37129
16585.2,32024203.965174627,20,48285,37129
16585.35,32024481.28092682,20,48285,37130
16585.5,32024707.149872135,20,48286,37130
16585.65,32024903.032865856,20,48288,37130
16585.8,32025235.122940443,20,48289,37132
16585.95,32025437.295876052,20,48290,37133
16586.1,32026348.889605217,20,48290,37133
16586.25,32026519.02080763,20,48291,37133
16586.4,32026801.63760819,20,48292,37134
16586.55,32027034.53564183,20,48292,37135
16586.7,32027208.96332347,20,48292,37135
16586.85,32027383.110706173,20,48292,37135
16587.0,32027558.20257287,20,48292,37135
16587.15,32027719.33452548,20,48293,37135
16587.3,32028045.916006755,20,48293,37135
16587.45,32028211.312551226,19,48293,37135
16587.6,32028429.46630911,19,48293,37136
16587.75,32028643.248984426,19,48293,37137
16587.9,32028887.72057511,19,48293,37138
16588.05,32029072.284194402,19,48293,37138
16588.2,32029214.099802602,20,48296,37138
16588.35,32029459.535856497,20,48297,37139
16588.5,32029637.203114606,20,48297,37140
16588.65,32029806.097911105,20,48297,37140
16588.8,32029989.9277163,20,48297,37140
16588.95,32030171.45408012,20,48298,37140
16589.1,32031087.161321964,20,48298,37141
16589.25,32031284.37805745,19,48298,37141
16589.4,32031477.284876812,19,48298,37141
16589.55,32031689.80393286,19,48298,37141
16589.7,32031891.44726606,19,48299,37141
16589.85,32032678.459338874,19,48299,37141
16590.0,32032872.962207798,18,48300,37141
16590.15,32033115.925977975,18,48300,37142
16590.3,32033320.793196443,18,48300,37142
16590.45,32033500.629685886,18,48301,37142
16590.6,32033796.946731858,18,48301,37143
16590.75,32033970.445047982,18,48302,37143
16590.9,32034176.260639627,18,48304,37144
16591.05,32034448.511790287,18,48305,37146
16591.2,32034662.5292239,18,48305,37147
16591.35,32034806.517275274,18,48305,37147
16591.5,32034922.10371597,18,48306,37147
16591.65,32035132.855824307,18,48307,37149
16591.8,32035221.861744873,18,48308,37149
16591.95,32035372.84285139,18,48308,37150
16592.1,32035461.842076864,18,48308,37150
16592.25,32035557.44474174,18,48308,37150
16592.4,32035657.06171073,18,48308,37150
16592.55,32035760.692983832,18,48308,37150
16592.7,32035870.83874493,18,48308,37150
16592.85,32035993.78736671,18,48308,37150
16593.0,32036140.550466966,18,48308,37150
16593.15,32036284.707592968,18,48310,37150
16593.3,32036516.290104147,18,48310,37152
16593.45,32036679.251874298,18,48310,37152
16593.6,32036861.638060227,18,48310,37152
16593.75,32037027.18967411,18,48311,37152
16593.9,32037320.66043845,18,48311,37153
16594.05,32037515.91017691,18,48311,37153
16594.2,32037689.500729706,18,48313,37153
16594.35,32038001.299426734,18,48313,37155
16594.5,32038189.976235207,18,48313,37155
16594.65,32038373.848562073,18,48313,37155
16594.8,32038558.61516745,18,48313,37155
16594.95,32038734.02770608,18,48313,37155
16595.1,32038908.779189218,18,48314,37155
16595.25,32039092.964041546,18,48315,37156
16595.4,32039267.82838825,18,48316,37157
16595.55,32039445.956074614,18,48316,37158
16595.7,32039578.13637515,18,48319,37158
16595.85,32039871.69121154,18,48320,37161
16596.0,32040061.63652826,18,48320,37162
16596.15,32040217.886919975,18,48320,37162
16596.3,32040387.214982864,18,48320,37162
16596.45,32040568.297134582,18,48320,37162
16596.6,32040760.08789634,18,48321,37162
16596.75,32040979.32610468,18,48321,37163
16596.9,32041181.782876957,18,48321,37163
16597.05,32041397.42237899,18,48321,37163
16597.2,32041617.430807453,18,48321,37163
16597.35,32041830.252022706,18,48322,37163
16597.5,32042051.551699046,18,48323,37164
16597.65,32042599.41775467,18,48323,37164
16597.8,32042813.66677785,17,48323,37164
16597.95,32043018.916574575,17,48324,37164
